"","Port.Name","Border","Date","Measure","Lon","Lat","EXMXUS_20191202","LRUNTTTTCAM156S","PredictedValue"
"108","Trout River","US-Canada Border",2019-03-01,"Rail Containers Empty",-73.44253,44.99001,19.2442,5.8,363.849807048381
"109","Calexico East","US-Mexico Border",2019-03-01,"Personal Vehicles",-115.48433,32.67524,19.2442,5.8,319588.304674044
"110","Detroit","US-Canada Border",2019-03-01,"Truck Containers Full",-83.10222,42.38306,19.2442,5.8,42137.7686108055
"111","Jackman","US-Canada Border",2019-03-01,"Buses",-70.255,45.62389,19.2442,5.8,2782.25224157695
"112","Tecate","US-Mexico Border",2019-03-01,"Personal Vehicles",-116.62667,32.57722,19.2442,5.8,61630.8458138853
"113","Skagway","US-Canada Border",2019-03-01,"Personal Vehicles",-135.30656,59.47197,19.2442,5.8,-249.367013901967
"114","Ambrose","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-103.48222,48.95389,19.2442,5.8,-24924.6765013848
"115","Turner","US-Canada Border",2019-03-01,"Trucks",-108.40599,48.84361,19.2442,5.8,722.143564154995
"116","Fort Kent","US-Canada Border",2019-03-01,"Buses",-68.58458,47.26878,19.2442,5.8,250.385763999908
"117","Porthill","US-Canada Border",2019-03-01,"Trucks",-116.49828,48.99282,19.2442,5.8,290.985813136377
"118","Wildhorse","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-109.67761,48.54863,19.2442,5.8,11685.2878950231
"119","Dunseith","US-Canada Border",2019-03-01,"Trucks",-100.05863,48.81369,19.2442,5.8,1290.06924276417
"120","Rio Grande City","US-Mexico Border",2019-03-01,"Truck Containers Empty",-98.82,26.37944,19.2442,5.8,2615.0290703619
"121","Walhalla","US-Canada Border",2019-03-01,"Truck Containers Full",-97.91778,48.92333,19.2442,5.8,597.561660671043
"122","Boundary","US-Canada Border",2019-03-01,"Truck Containers Empty",-117.89655,48.54648,19.2442,5.8,2017.35869015473
"123","Sumas","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-122.26361,49.00028,19.2442,5.8,115065.79744784
"124","Sarles","US-Canada Border",2019-03-01,"Truck Containers Empty",-98.99457,48.94105,19.2442,5.8,362.288647652564
"125","Fortuna","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-103.77906,48.91086,19.2442,5.8,-22400.140035345
"126","Bridgewater","US-Canada Border",2019-03-01,"Personal Vehicles",-67.84262,46.41923,19.2442,5.8,172.457637714193
"127","Ambrose","US-Canada Border",2019-03-01,"Personal Vehicles",-103.48222,48.95389,19.2442,5.8,-5682.80538742783
"128","Buffalo-Niagara Falls","US-Canada Border",2019-03-01,"Trucks",-79.05694,43.09444,19.2442,5.8,35759.217188274
"129","Sault Sainte Marie","US-Canada Border",2019-03-01,"Train Passengers",-84.29889,46.47028,19.2442,5.8,2543.77039242439
"130","Eastport","US-Canada Border",2019-03-01,"Train Passengers",-116.18028,48.99944,19.2442,5.8,1894.75900222491
"131","Douglas","US-Mexico Border",2019-03-01,"Personal Vehicles",-109.54472,31.34444,19.2442,5.8,119509.274027064
"132","Vanceboro","US-Canada Border",2019-03-01,"Truck Containers Empty",-67.42955,45.55984,19.2442,5.8,341.779504350231
"133","Trout River","US-Canada Border",2019-03-01,"Personal Vehicles",-73.44253,44.99001,19.2442,5.8,7350.0358109248
"134","Buffalo-Niagara Falls","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-79.05694,43.09444,19.2442,5.8,1108376.80988746
"135","Grand Portage","US-Canada Border",2019-03-01,"Truck Containers Empty",-89.68472,47.96389,19.2442,5.8,1057.20574787727
"136","Alexandria Bay","US-Canada Border",2019-03-01,"Personal Vehicles",-75.91806,44.33583,19.2442,5.8,48479.9841818021
"137","Eagle Pass","US-Mexico Border",2019-03-01,"Trains",-100.49917,28.70889,19.2442,5.8,5960.80621904648
"138","Portal","US-Canada Border",2019-03-01,"Personal Vehicles",-102.54917,48.99583,19.2442,5.8,1138.94095241532
"139","Sumas","US-Canada Border",2019-03-01,"Truck Containers Full",-122.26361,49.00028,19.2442,5.8,3099.35794878773
"140","Carbury","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-100.68648,48.90957,19.2442,5.8,-20463.3459603077
"141","Boundary","US-Canada Border",2019-03-01,"Trucks",-117.89655,48.54648,19.2442,5.8,2017.35869015473
"142","Massena","US-Canada Border",2019-03-01,"Personal Vehicles",-74.74,44.98944,19.2442,5.8,76384.3737289451
"143","Carbury","US-Canada Border",2019-03-01,"Truck Containers Empty",-100.68648,48.90957,19.2442,5.8,503.783172553104
"144","Jackman","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-70.255,45.62389,19.2442,5.8,11556.0217140808
"145","Sweetgrass","US-Canada Border",2019-03-01,"Trains",-111.95972,48.99611,19.2442,5.8,2938.04867138078
"146","Trout River","US-Canada Border",2019-03-01,"Truck Containers Full",-73.44253,44.99001,19.2442,5.8,363.849807048381
"147","Calais","US-Canada Border",2019-03-01,"Rail Containers Full",-67.27917,45.18889,19.2442,5.8,2040.1839739867
"148","Piegan","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-113.43406,48.85152,19.2442,5.8,7648.37599081192
"149","Northgate","US-Canada Border",2019-03-01,"Truck Containers Empty",-102.39634,48.89848,19.2442,5.8,712.498803837913
"150","Sumas","US-Canada Border",2019-03-01,"Trucks",-122.26361,49.00028,19.2442,5.8,3099.35794878773
"151","Tornillo-Fabens","US-Mexico Border",2019-03-01,"Personal Vehicle Passengers",-106.15806,31.50222,19.2442,5.8,164241.84220921
"152","Jackman","US-Canada Border",2019-03-01,"Truck Containers Empty",-70.255,45.62389,19.2442,5.8,2782.25224157695
"153","Calexico East","US-Mexico Border",2019-03-01,"Train Passengers",-115.48433,32.67524,19.2442,5.8,8670.04606029748
"154","El Paso","US-Mexico Border",2019-03-01,"Rail Containers Full",-106.48639,31.75861,19.2442,5.8,21067.3654850228
"155","Port Angeles","US-Canada Border",2019-03-01,"Truck Containers Empty",-123.4328,48.11365,19.2442,5.8,164.489758315195
"156","Progreso","US-Mexico Border",2019-03-01,"Pedestrians",-97.94889,26.06167,19.2442,5.8,83965.1362365335
"157","Port Angeles","US-Canada Border",2019-03-01,"Truck Containers Full",-123.4328,48.11365,19.2442,5.8,164.489758315195
"158","San Luis","US-Mexico Border",2019-03-01,"Trucks",-114.78139,32.48694,19.2442,5.8,2761.99778825572
"159","Rio Grande City","US-Mexico Border",2019-03-01,"Trucks",-98.82,26.37944,19.2442,5.8,2615.0290703619
"160","Nogales","US-Mexico Border",2019-03-01,"Pedestrians",-110.93361,31.34028,19.2442,5.8,385948.79959859
"161","Sumas","US-Canada Border",2019-03-01,"Trains",-122.26361,49.00028,19.2442,5.8,3099.35794878773
"162","Danville","US-Canada Border",2019-03-01,"Truck Containers Empty",-118.50309,48.99617,19.2442,5.8,123.785890846736
"163","Nighthawk","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-119.63538,48.82366,19.2442,5.8,-14931.0415185325
"164","Warroad","US-Canada Border",2019-03-01,"Personal Vehicles",-95.3261,48.89625,19.2442,5.8,5754.52960172642
"165","Roma","US-Mexico Border",2019-03-01,"Trucks",-99.01833,26.40361,19.2442,5.8,2645.1681610996
"166","Champlain-Rouses Point","US-Canada Border",2019-03-01,"Trains",-73.44694,44.98639,19.2442,5.8,11979.8810953552
"167","Opheim","US-Canada Border",2019-03-01,"Trucks",-106.40265,48.85574,19.2442,5.8,674.555878153177
"168","Massena","US-Canada Border",2019-03-01,"Buses",-74.74,44.98944,19.2442,5.8,1370.73804226316
"169","Roseau","US-Canada Border",2019-03-01,"Truck Containers Empty",-95.81074,48.77518,19.2442,5.8,1148.92979710871
"170","Frontier","US-Canada Border",2019-03-01,"Personal Vehicles",-117.78134,48.91016,19.2442,5.8,-1605.15432284542
"171","Wildhorse","US-Canada Border",2019-03-01,"Trucks",-109.67761,48.54863,19.2442,5.8,1699.87027711685
"172","Progreso","US-Mexico Border",2019-03-01,"Truck Containers Full",-97.94889,26.06167,19.2442,5.8,2758.42578944597
"173","Van Buren","US-Canada Border",2019-03-01,"Truck Containers Empty",-67.94271,47.16207,19.2442,5.8,512.402240234737
"174","Van Buren","US-Canada Border",2019-03-01,"Rail Containers Empty",-67.94271,47.16207,19.2442,5.8,512.402240234737
"175","Naco","US-Mexico Border",2019-03-01,"Personal Vehicle Passengers",-109.9475,31.33528,19.2442,5.8,-91936.1719711671
"176","Whitlash","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-111.249,48.90372,19.2442,5.8,-22504.4862689197
"177","Maida","US-Canada Border",2019-03-01,"Truck Containers Empty",-98.36953,48.98568,19.2442,5.8,174.569551172103
"178","Santa Teresa","US-Mexico Border",2019-03-01,"Trucks",-106.67903,31.85,19.2442,5.8,3161.4446042175
"179","Sweetgrass","US-Canada Border",2019-03-01,"Truck Containers Empty",-111.95972,48.99611,19.2442,5.8,2938.04867138078
"180","Dunseith","US-Canada Border",2019-03-01,"Truck Containers Full",-100.05863,48.81369,19.2442,5.8,1290.06924276417
"181","Turner","US-Canada Border",2019-03-01,"Pedestrians",-108.40599,48.84361,19.2442,5.8,722.143564154995
"182","Fort Fairfield","US-Canada Border",2019-03-01,"Truck Containers Empty",-67.82965,46.76891,19.2442,5.8,422.104024665798
"183","Highgate Springs-Alburg","US-Canada Border",2019-03-01,"Rail Containers Full",-73.10583,44.97944,19.2442,5.8,3291.28369714604
"184","Port Huron","US-Canada Border",2019-03-01,"Bus Passengers",-82.47889,42.97583,19.2442,5.8,22550.2216334537
"185","Laurier","US-Canada Border",2019-03-01,"Buses",-118.22302,48.99892,19.2442,5.8,291.201865740779
"186","Sarles","US-Canada Border",2019-03-01,"Bus Passengers",-98.99457,48.94105,19.2442,5.8,362.288647652564
"187","Calais","US-Canada Border",2019-03-01,"Truck Containers Full",-67.27917,45.18889,19.2442,5.8,2040.1839739867
"188","Limestone","US-Canada Border",2019-03-01,"Trucks",-67.82708,46.90941,19.2442,5.8,225.511740166247
"189","Derby Line","US-Canada Border",2019-03-01,"Trucks",-72.09944,45.005,19.2442,5.8,2930.47758657746
"190","Grand Portage","US-Canada Border",2019-03-01,"Trucks",-89.68472,47.96389,19.2442,5.8,1057.20574787727
"191","Naco","US-Mexico Border",2019-03-01,"Personal Vehicles",-109.9475,31.33528,19.2442,5.8,5404.07405208051
"192","Pinecreek","US-Canada Border",2019-03-01,"Truck Containers Full",-95.81074,48.77518,19.2442,5.8,919.753416027077
"193","Andrade","US-Mexico Border",2019-03-01,"Personal Vehicles",-114.63402,32.7394,19.2442,5.8,-66985.3946316093
"194","Hidalgo","US-Mexico Border",2019-03-01,"Personal Vehicle Passengers",-98.26278,26.1,19.2442,5.8,1065573.8081687
"195","Richford","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-72.67832,44.98588,19.2442,5.8,-7118.93484542733
"196","Point Roberts","US-Canada Border",2019-03-01,"Truck Containers Empty",-123.07994,48.96978,19.2442,5.8,466.456887204102
"197","Vanceboro","US-Canada Border",2019-03-01,"Rail Containers Full",-67.42955,45.55984,19.2442,5.8,341.779504350231
"198","Roma","US-Mexico Border",2019-03-01,"Truck Containers Full",-99.01833,26.40361,19.2442,5.8,2645.1681610996
"199","Calais","US-Canada Border",2019-03-01,"Truck Containers Empty",-67.27917,45.18889,19.2442,5.8,2040.1839739867
"200","Northgate","US-Canada Border",2019-03-01,"Trains",-102.39634,48.89848,19.2442,5.8,712.498803837913
"201","Oroville","US-Canada Border",2019-03-01,"Pedestrians",-119.43444,48.93917,19.2442,5.8,1079.81898307855
"202","Maida","US-Canada Border",2019-03-01,"Personal Vehicles",-98.36953,48.98568,19.2442,5.8,-5367.69017987911
"203","Nogales","US-Mexico Border",2019-03-01,"Trucks",-110.93361,31.34028,19.2442,5.8,10168.2065228441
"204","Eagle Pass","US-Mexico Border",2019-03-01,"Pedestrians",-100.49917,28.70889,19.2442,5.8,45103.453540273
"205","Del Bonita","US-Canada Border",2019-03-01,"Pedestrians",-112.32481,48.63274,19.2442,5.8,1377.10040941726
"206","Sweetgrass","US-Canada Border",2019-03-01,"Buses",-111.95972,48.99611,19.2442,5.8,2938.04867138078
"207","Nogales","US-Mexico Border",2019-03-01,"Buses",-110.93361,31.34028,19.2442,5.8,10168.2065228441
"208","Champlain-Rouses Point","US-Canada Border",2019-03-01,"Pedestrians",-73.44694,44.98639,19.2442,5.8,11979.8810953552
"209","Jackman","US-Canada Border",2019-03-01,"Truck Containers Full",-70.255,45.62389,19.2442,5.8,2782.25224157695
"210","Wildhorse","US-Canada Border",2019-03-01,"Personal Vehicles",-109.67761,48.54863,19.2442,5.8,4821.09054404308
"211","San Luis","US-Mexico Border",2019-03-01,"Truck Containers Full",-114.78139,32.48694,19.2442,5.8,2761.99778825572
"212","Piegan","US-Canada Border",2019-03-01,"Truck Containers Full",-113.43406,48.85152,19.2442,5.8,797.674059673842
"213","Port Angeles","US-Canada Border",2019-03-01,"Bus Passengers",-123.4328,48.11365,19.2442,5.8,164.489758315195
"214","Oroville","US-Canada Border",2019-03-01,"Bus Passengers",-119.43444,48.93917,19.2442,5.8,1079.81898307855
"215","Trout River","US-Canada Border",2019-03-01,"Trains",-73.44253,44.99001,19.2442,5.8,363.849807048381
"216","Progreso","US-Mexico Border",2019-03-01,"Personal Vehicle Passengers",-97.94889,26.06167,19.2442,5.8,42299.0332703938
"217","Frontier","US-Canada Border",2019-03-01,"Pedestrians",-117.78134,48.91016,19.2442,5.8,835.139616178105
